"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
6,195,19.87,-0.3,Kenneth BEDNAREK,14 OCT 1998,USA,4,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1242
7,195,19.87,0.6,Andrew HUDSON,14 DEC 1996,JAM,1,"Grand Bahama Sports Complex, Freeport (BAH)",21 AUG 2022,1241
8,195,19.87,-0.3,Letsile TEBOGO,07 JUN 2003,BOT,1f1,"National Stadium, Gaborone (BOT)",29 APR 2023,1242
9,195,19.87,0.9,Terrence JONES,08 NOV 2002,BAH,3,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1241
10,211,19.88,1.5,Michael JOHNSON,13 SEP 1967,USA,1f1,Sestriere (ITA),08 AUG 1990,1239
11,211,19.88,-0.9,Michael JOHNSON,13 SEP 1967,USA,1,Barcelona (ESP),20 SEP 1991,1244
12,211,19.88,1.7,Michael MARSH,04 AUG 1967,USA,2,"Atlanta, GA (USA)",18 MAY 1996,1239
13,211,19.88,0.4,Ato BOLDON,30 DEC 1973,TTO,1,Athina (GRE),17 JUN 1998,1239
14,211,19.88,-0.3,Floyd HEARD,24 MAR 1966,USA,2,"Sacramento, CA (USA)",23 JUL 2000,1240
15,211,19.88,0.1,Joshua J. JOHNSON,10 MAY 1976,USA,1,Bruxelles (BEL),24 AUG 2001,1239
16,211,19.88,0.3,Shawn CRAWFORD,14 JAN 1978,USA,1h3,"Sacramento, CA (USA)",16 JUL 2004,1239
17,211,19.88,0.4,Usain BOLT,21 AUG 1986,JAM,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1239
18,211,19.88,-0.1,Wallace SPEARMON,24 DEC 1984,USA,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",10 SEP 2006,1239
19,211,19.88,0.7,Wallace SPEARMON,24 DEC 1984,USA,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1239
20,211,19.88,0.1,Wallace SPEARMON,24 DEC 1984,USA,1,Daegu (KOR),03 OCT 2007,1239
21,211,19.88,0.3,Andre DE GRASSE,10 NOV 1994,CAN,1,"CIBC, Toronto (CAN)",24 JUL 2015,1239
22,211,19.88,-0.4,Ramil GULIYEV,29 MAY 1990,TUR,1,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2015,1241
23,211,19.88,1.2,Miguel FRANCIS,28 MAR 1995,ANT,1,Kingston (JAM),11 JUN 2016,1239
24,211,19.88,0.4,Michael NORMAN,03 DEC 1997,USA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1239
25,211,19.88,0.9,Zhenye XIE,17 AUG 1993,CHN,1,"Olympic Stadium, London (GBR)",21 JUL 2019,1239
26,211,19.88,1.6,Divine ODUDURU,07 OCT 1996,NGR,1f1,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",29 APR 2021,1239
27,211,19.88,0.4,Kenneth BEDNAREK,14 OCT 1998,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1239
28,211,19.88,1.1,Erriyon KNIGHTON,29 JAN 2004,USA,1sf2,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1239
29,211,19.88,0.8,Erriyon KNIGHTON,29 JAN 2004,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",08 AUG 2022,1239
30,211,19.88,0.6,Courtney LINDSEY,18 NOV 1998,USA,1sf3,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1239
31,232,19.89,1.0,Michael JOHNSON,13 SEP 1967,USA,1,Bruxelles (BEL),13 SEP 1991,1237
32,232,19.89,0.7,Maurice GREENE,23 JUL 1974,USA,2f1,Stuttgart (GER),13 JUL 1997,1237
33,232,19.89,-0.8,Claudinei Quirino DA SILVA,19 NOV 1970,BRA,1,"Olympiastadion, München (GER)",11 SEP 1999,1241
34,232,19.89,0.3,Michael JOHNSON,13 SEP 1967,USA,h,"Sacramento, CA (USA)",22 JUL 2000,1237
35,232,19.89,1.8,Wallace SPEARMON,24 DEC 1984,USA,1,"Crystal Palace, London (GBR)",22 JUL 2005,1237
36,232,19.89,1.3,Usain BOLT,21 AUG 1986,JAM,2,"Icahn Stadium, New York, NY (USA)",02 JUN 2007,1237
37,232,19.89,-0.3,Wallace SPEARMON,24 DEC 1984,USA,2,"Indianapolis, IN (USA)",24 JUN 2007,1238
38,232,19.89,1.3,Jaysuma SAIDY NDURE,01 JAN 1984,NOR,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",23 SEP 2007,1237
39,232,19.89,-0.3,Shawn CRAWFORD,14 JAN 1978,USA,4,"Olympiastadion, Berlin (GER)",20 AUG 2009,1238
40,232,19.89,0.0,Walter DIX,31 JAN 1986,USA,1,"Tallahassee, FL (USA)",08 MAY 2010,1237
41,232,19.89,0.2,Warren WEIR,31 OCT 1989,JAM,1,"Olympic Stadium, London (GBR)",26 JUL 2013,1237
42,232,19.89,-0.3,Usain BOLT,21 AUG 1986,JAM,1,"Olympic Stadium, London (GBR)",22 JUL 2016,1238
43,232,19.89,0.4,Andre DE GRASSE,10 NOV 1994,CAN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1237
44,232,19.89,1.3,Gary Noa Jerrel BIBI,21 AUG 2000,MRI,1,"Stadium Municipal, Albi (FRA)",10 JUL 2022,1237
45,232,19.89,0.0,Erriyon KNIGHTON,29 JAN 2004,USA,1,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1237
46,232,19.89,0.9,Robert GREGORY,12 DEC 2001,USA,4,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1237
47,248,19.9,0.3,Michael JOHNSON,13 SEP 1967,USA,1,"Norwalk, CA (USA)",16 JUN 1990,1236
48,248,19.9,0.4,Frank FREDERICKS,02 OCT 1967,NAM,1,Osaka (JPN),10 MAY 1997,1236
49,248,19.9,1.2,Maurice GREENE,23 JUL 1974,USA,1,"La Cartuja, Sevilla (ESP)",27 AUG 1999,1236
50,248,19.9,-0.8,Maurice GREENE,23 JUL 1974,USA,2,"Olympiastadion, München (GER)",11 SEP 1999,1240
51,248,19.9,1.3,Asafa POWELL,23 NOV 1982,JAM,1,Kingston (JAM),25 JUN 2006,1236
52,248,19.9,0.3,Wallace SPEARMON,24 DEC 1984,USA,1,"Indianapolis, IN (USA)",25 JUN 2006,1236
53,248,19.9,0.4,Wallace SPEARMON,24 DEC 1984,USA,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1236
54,248,19.9,1.7,Wallace SPEARMON,24 DEC 1984,USA,3,"Eugene, OR (USA)",06 JUL 2008,1236
55,248,19.9,0.4,Wallace SPEARMON,24 DEC 1984,USA,4,"Olympic Stadium, London (GBR)",09 AUG 2012,1236
56,248,19.9,1.1,Justin GATLIN,10 FEB 1982,USA,1sf2,"Hayward Field, Eugene, OR (USA)",28 JUN 2015,1236
57,248,19.9,0.3,Rasheed DWYER,29 JAN 1989,JAM,2,"CIBC, Toronto (CAN)",24 JUL 2015,1236
58,248,19.9,0.3,Alonso EDWARD,08 DEC 1989,PAN,3,"CIBC, Toronto (CAN)",24 JUL 2015,1236
59,248,19.9,0.5,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,Potchefstroom (RSA),22 APR 2017,1236
60,248,19.9,-0.4,Noah LYLES,18 JUL 1997,USA,1,"Shanghai Stadium, Shanghai (CHN)",13 MAY 2017,1238
61,248,19.9,1.0,Ramil GULIYEV,29 MAY 1990,TUR,1,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1236
62,248,19.9,0.9,Alonso EDWARD,08 DEC 1989,PAN,1f1,Luzern (SUI),09 JUL 2018,1236
63,248,19.9,0.7,Noah LYLES,18 JUL 1997,USA,1f1,"Hilmer Lodge Stadium, Walnut, CA (USA)",09 MAY 2021,1236
64,248,19.9,0.9,Kenneth BEDNAREK,14 OCT 1998,USA,1sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1236
65,248,19.9,0.3,Fred KERLEY,07 MAY 1995,USA,4,"Hayward Field, Eugene, OR (USA)",27 JUN 2021,1236
66,267,19.91,1.9,Michael JOHNSON,13 SEP 1967,USA,1,Salamanca (ESP),13 JUL 1992,1234
67,267,19.91,0.0,Michael JOHNSON,13 SEP 1967,USA,1,Sevilla (ESP),09 JUN 2000,1234
68,267,19.91,-0.7,Wallace SPEARMON,24 DEC 1984,USA,1,"Sacramento, CA (USA)",11 JUN 2005,1238
69,267,19.91,1.4,Wallace SPEARMON,24 DEC 1984,USA,1,"Carson, CA (USA)",20 MAY 2007,1234
70,267,19.91,-0.8,Usain BOLT,21 AUG 1986,JAM,2,"Yanmar Stadium Nagai, Osaka (JPN)",30 AUG 2007,1238
71,267,19.91,0.7,Nickel ASHMEADE,07 APR 1990,JAM,3,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,1234
72,267,19.91,1.1,Yohan BLAKE,26 DEC 1989,JAM,1,"National Stadium, Kingston (JAM)",05 MAY 2012,1234
73,267,19.91,1.1,Christophe LEMAITRE,11 JUN 1990,FRA,1,"Crystal Palace, London (GBR)",14 JUL 2012,1234
74,267,19.91,1.0,Ameer WEBB,19 MAR 1991,USA,1f1,"Walnut, CA (USA)",16 APR 2016,1234
75,267,19.91,-0.6,Andre DE GRASSE,10 NOV 1994,CAN,1,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1237
76,267,19.91,0.6,Christian COLEMAN,06 MAR 1996,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2019,1234
77,267,19.91,-0.4,Joseph FAHNBULLEH,11 SEP 2001,LBR,1,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1236
78,267,19.91,1.1,Noah LYLES,18 JUL 1997,USA,2sf2,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1234
79,267,19.91,-0.1,Alexander OGANDO,03 MAY 2000,DOM,1sf1,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1234
80,267,19.91,0.9,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",14 MAY 2023,1234
81,282,19.92,1.9,John CARLOS,05 JUN 1945,USA,1,Echo Summit (USA),12 SEP 1968,1233
82,282,19.92,1.3,Carl LEWIS,01 JUL 1961,USA,1,Madrid (ESP),04 JUN 1987,1233
83,282,19.92,-0.2,Frank FREDERICKS,02 OCT 1967,NAM,1,Bruxelles (BEL),23 AUG 1996,1234
84,282,19.92,1.6,Frank FREDERICKS,02 OCT 1967,NAM,1,Melbourne (AUS),25 FEB 1999,1233
85,282,19.92,0.2,Maurice GREENE,23 JUL 1974,USA,1,"Stade Louis II, Monaco (MON)",04 AUG 1999,1233
86,282,19.92,0.2,Xavier CARTER,08 DEC 1985,USA,1,"Letzigrund, Zürich (SUI)",07 SEP 2007,1233
87,282,19.92,0.0,Jason YOUNG,21 MAR 1991,JAM,2,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,1233
88,282,19.92,0.2,Warren WEIR,31 OCT 1989,JAM,2,Paris (FRA),06 JUL 2013,1233
89,282,19.92,1.7,Justin GATLIN,10 FEB 1982,USA,1h2,"Hayward Field, Eugene, OR (USA)",27 JUN 2015,1233
90,282,19.92,0.4,Alonso EDWARD,08 DEC 1989,PAN,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016,1233
91,282,19.92,0.9,Ramil GULIYEV,29 MAY 1990,TUR,1,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1233
92,282,19.92,-0.1,Andre DE GRASSE,10 NOV 1994,CAN,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1233
93,282,19.92,0.5,Christian COLEMAN,06 MAR 1996,USA,1f1,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",22 APR 2022,1233
94,282,19.92,-0.9,Matthew BOLING,20 JUN 2000,USA,1f1,"Geroge C. Griffin Track, Atlanta, GA (USA)",23 APR 2022,1238
95,282,19.92,1.4,Joseph FAHNBULLEH,11 SEP 2001,LBR,2f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",30 APR 2022,1233
96,282,19.92,-0.1,Joseph FAHNBULLEH,11 SEP 2001,LBR,2sf1,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1233
97,282,19.92,0.3,Fred KERLEY,07 MAY 1995,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2023,1233
98,299,19.93,1.5,Lorenzo DANIEL,23 MAR 1966,USA,1,"Auburn, AL (USA)",15 MAY 1988,1231
99,299,19.93,-0.3,Michael JOHNSON,13 SEP 1967,USA,1,"Stade Louis II, Monaco (MON)",09 SEP 1995,1232
0,299,19.93,0.0,Frank FREDERICKS,02 OCT 1967,NAM,1,Johannesburg (RSA),24 SEP 1995,1231
1,299,19.93,0.7,Frank FREDERICKS,02 OCT 1967,NAM,3f1,Stuttgart (GER),13 JUL 1997,1231
2,299,19.93,0.5,Frank FREDERICKS,02 OCT 1967,NAM,1,"Stade Louis II, Monaco (MON)",16 AUG 1997,1231
3,299,19.93,0.8,Michael JOHNSON,13 SEP 1967,USA,1,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1231
4,299,19.93,0.2,Frank FREDERICKS,02 OCT 1967,NAM,2,"Stade Louis II, Monaco (MON)",04 AUG 1999,1231
5,299,19.93,0.4,Michael JOHNSON,13 SEP 1967,USA,1,Bruxelles (BEL),03 SEP 1999,1231
6,299,19.93,1.4,Usain BOLT,21 AUG 1986,JAM,1,Hamilton (BER),11 APR 2004,1231
7,299,19.93,0.6,Tyson GAY,09 AUG 1982,USA,1sf1,"Sacramento, CA (USA)",09 JUN 2005,1231
8,299,19.93,0.1,Wallace SPEARMON,24 DEC 1984,USA,3,"Stade Louis II, Monaco (MON)",22 JUL 2010,1231
9,299,19.93,1.7,Yohan BLAKE,26 DEC 1989,JAM,1sf2,Kingston (JAM),30 JUN 2012,1231
10,299,19.93,-0.2,Nickel ASHMEADE,07 APR 1990,JAM,2,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,1232
11,299,19.93,0.4,Isiah YOUNG,05 JAN 1990,USA,2,"Hayward Field, Eugene, OR (USA)",28 JUN 2015,1231
12,299,19.93,-0.5,Alex QUIÑÓNEZ,11 AUG 1989,ECU,1,Cochabamba (BOL),07 JUN 2018,1234
13,299,19.93,1.5,Isiah YOUNG,05 JAN 1990,USA,1f1,"Montverde, FL (USA)",09 JUN 2018,1231
14,299,19.93,0.8,Cravon GILLESPIE,31 JUL 1996,USA,2,"Austin, TX (USA)",07 JUN 2019,1231
15,299,19.93,-0.6,Kenneth BEDNAREK,14 OCT 1998,USA,1,"Mestský Stadion, Ostrava (CZE)",19 MAY 2021,1234
16,299,19.93,-0.5,Erriyon KNIGHTON,29 JAN 2004,USA,4,"National Stadium, Tokyo (JPN)",04 AUG 2021,1234
17,299,19.93,-0.3,Josephus LYLES,22 JUL 1998,USA,5,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1232
18,299,19.93,0.4,Alexander OGANDO,03 MAY 2000,DOM,5,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,1231
19,320,19.94,1.4,Michael JOHNSON,13 SEP 1967,USA,1,Sheffield (GBR),15 SEP 1991,1229
20,320,19.94,1.1,Michael MARSH,04 AUG 1967,USA,1f2,"Austin, TX (USA)",09 MAY 1992,1229
21,320,19.94,0.3,John REGIS,13 OCT 1966,GBR,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1229
22,320,19.94,0.0,Michael JOHNSON,13 SEP 1967,USA,1,"Stade Louis II, Monaco (MON)",02 AUG 1994,1229
23,320,19.94,0.6,Ato BOLDON,30 DEC 1973,TTO,2,Stockholm (SWE),08 JUL 1996,1229
24,320,19.94,0.1,Churandy MARTINA,03 JUL 1984,NED,1,"Icahn Stadium, New York, NY (USA)",09 JUN 2012,1229
25,320,19.94,0.1,Nickel ASHMEADE,07 APR 1990,JAM,2,"Icahn Stadium, New York, NY (USA)",09 JUN 2012,1229
26,320,19.94,1.4,Nickel ASHMEADE,07 APR 1990,JAM,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1229
27,320,19.94,0.6,Wayde VAN NIEKERK,15 JUL 1992,RSA,1f2,Luzern (SUI),14 JUL 2015,1229
28,320,19.94,-0.4,LaShawn MERRITT,27 JUN 1986,USA,1sf1,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,1231
29,320,19.94,0.8,Noah LYLES,18 JUL 1997,USA,1f1,"National Training Center, Clermont, FL (USA)",25 JUL 2020,1229
30,320,19.94,0.7,Kenneth BEDNAREK,14 OCT 1998,USA,2f1,"Hilmer Lodge Stadium, Walnut, CA (USA)",09 MAY 2021,1229
31,320,19.94,-0.4,Terrance LAIRD,12 OCT 1998,USA,2,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1231
32,320,19.94,1.3,Courtney LINDSEY,18 NOV 1998,USA,2f1,"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",29 APR 2023,1229
33,320,19.94,0.6,Tarsis Gracious OROGOT,24 NOV 2002,UGA,2sf2,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1229
34,335,19.95,1.9,Floyd HEARD,24 MAR 1966,USA,1,"Lubbock, TX (USA)",17 MAY 1987,1228
35,335,19.95,-1.0,Michael MARSH,04 AUG 1967,USA,1f1,Zürich (SUI),19 AUG 1992,1234
36,335,19.95,-0.2,Frank FREDERICKS,02 OCT 1967,NAM,1,Paris (FRA),28 JUN 1996,1229
37,335,19.95,1.1,Shawn CRAWFORD,14 JAN 1978,USA,1qf1,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1228
38,335,19.95,0.2,Wallace SPEARMON,24 DEC 1984,USA,1,"Poljud Stadion, Split (CRO)",05 SEP 2010,1228
39,335,19.95,1.6,Nickel ASHMEADE,07 APR 1990,JAM,1,"National Stadium, Kingston (JAM)",07 MAY 2011,1228
40,335,19.95,0.8,Jaysuma SAIDY NDURE,01 JAN 1984,NOR,4,"DS, Daegu (KOR)",03 SEP 2011,1228
41,335,19.95,1.8,Wallace SPEARMON,24 DEC 1984,USA,1f1,"Arlington, TX (USA)",24 MAR 2012,1228
42,335,19.95,1.1,Churandy MARTINA,03 JUL 1984,NED,2,"Crystal Palace, London (GBR)",14 JUL 2012,1228
43,335,19.95,-0.2,Nickel ASHMEADE,07 APR 1990,JAM,2,"Icahn Stadium, New York, NY (USA)",14 JUN 2014,1229
44,335,19.95,-0.9,Alonso EDWARD,08 DEC 1989,PAN,1,"Letzigrund, Zürich (SUI)",28 AUG 2014,1233
45,335,19.95,0.8,Usain BOLT,21 AUG 1986,JAM,1sf3,"National Stadium, Beijing (CHN)",26 AUG 2015,1228
46,335,19.95,0.4,Nethaneel MITCHELL-BLAKE,02 APR 1994,GBR,1,"Tuscaloosa, AL (USA)",14 MAY 2016,1228
47,335,19.95,1.7,Akani SIMBINE,21 SEP 1993,RSA,1f5,Pretoria (RSA),04 MAR 2017,1228
48,335,19.95,-0.1,Aaron BROWN,27 MAY 1992,CAN,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1228
49,335,19.95,0.1,Alex QUIÑÓNEZ,11 AUG 1989,ECU,2sf2,"Khalifa International Stadium, Doha (QAT)",30 SEP 2019,1228
50,335,19.95,0.3,Andre DE GRASSE,10 NOV 1994,CAN,2,"Khalifa International Stadium, Doha (QAT)",01 OCT 2019,1228
51,335,19.95,1.1,Noah LYLES,18 JUL 1997,USA,1h2,"Hayward Field, Eugene, OR (USA)",25 JUN 2022,1228
52,335,19.95,0.8,Michael NORMAN,03 DEC 1997,USA,3,"Stade Louis II, Monaco (MON)",10 AUG 2022,1228
53,335,19.95,0.7,Reynier MENA,21 NOV 1996,CUB,1f1,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",24 AUG 2022,1228
54,335,19.95,1.3,Jereem RICHARDS,13 JAN 1994,TTO,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1228
55,335,19.95,1.6,Reynier MENA,21 NOV 1996,CUB,1,"Centro Sportivo Fontanassa, Savona (ITA)",24 MAY 2023,1228
56,335,19.95,0.7,Erriyon KNIGHTON,29 JAN 2004,USA,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1228
57,335,19.95,1.0,Robert GREGORY,12 DEC 2001,USA,1sf1,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1228
58,359,19.96,0.2,Pietro MENNEA,28 JUN 1952,ITA,1h9,Ciudad de México (MEX),10 SEP 1979,1226
59,359,19.96,0.0,Pietro MENNEA,28 JUN 1952,ITA,1f2,Barletta (ITA),17 AUG 1980,1226
60,359,19.96,-0.9,Kirk BAPTISTE,20 JUN 1963,USA,2,"Memorial Coliseum, Los Angeles, CA (USA)",08 AUG 1984,1231
61,359,19.96,1.0,Joe DELOACH,05 JUN 1967,USA,1,"Indianapolis, IN (USA)",20 JUL 1988,1226
62,359,19.96,0.4,Robson DA SILVA,04 SEP 1964,BRA,1,Bruxelles (BEL),25 AUG 1989,1226
63,359,19.96,0.8,Frank FREDERICKS,02 OCT 1967,NAM,1f1,Rieti (ITA),05 SEP 1993,1226
64,359,19.96,0.7,Frank FREDERICKS,02 OCT 1967,NAM,1,Roma (ITA),05 JUN 1996,1226
65,359,19.96,2.0,Frank FREDERICKS,02 OCT 1967,NAM,1,Duisburg (GER),12 JUN 1996,1226
66,359,19.96,-0.3,Coby MILLER,19 OCT 1976,USA,3,"Sacramento, CA (USA)",23 JUL 2000,1227
67,359,19.96,-1.5,Tyson GAY,09 AUG 1982,USA,1,"Stade Louis II, Monaco (MON)",09 SEP 2005,1235
68,359,19.96,0.1,Usain BOLT,21 AUG 1986,JAM,2,"Olympic Stadium, Athina (GRE)",17 SEP 2006,1226
69,359,19.96,1.0,Usain BOLT,21 AUG 1986,JAM,1,Port-of-Spain (TTO),28 MAY 2007,1226
70,359,19.96,-0.9,Shawn CRAWFORD,14 JAN 1978,USA,2,"National Stadium, Beijing (CHN)",20 AUG 2008,1231
71,359,19.96,-0.4,Isaac MAKWALA,24 SEP 1985,BOT,1f1,La Chaux-de-Fonds (SUI),06 JUL 2014,1228
72,359,19.96,1.1,Brendon RODNEY,09 APR 1992,CAN,1,Edmonton (CAN),10 JUL 2016,1226
73,359,19.96,0.9,Isaac MAKWALA,24 SEP 1985,BOT,1,"Yanmar Stadium Nagai, Osaka (JPN)",20 MAY 2018,1226
74,359,19.96,0.4,Alonso EDWARD,08 DEC 1989,PAN,1sf2,Barranquilla (COL),31 JUL 2018,1226
75,359,19.96,1.0,Steven GARDINER,12 SEP 1995,BAH,1f2,"National Training Center, Clermont, FL (USA)",25 JUL 2020,1226
76,359,19.96,-1.0,Blessing Akwasi AFRIFAH,26 OCT 2003,ISR,1,"Pascual Guerrero Stadium, Cali (COL)",04 AUG 2022,1232
77,359,19.96,-1.0,Letsile TEBOGO,07 JUN 2003,BOT,2,"Pascual Guerrero Stadium, Cali (COL)",04 AUG 2022,1232
78,379,19.97,-1.0,Frank FREDERICKS,02 OCT 1967,NAM,2f1,Zürich (SUI),19 AUG 1992,1231
79,379,19.97,1.8,Frank FREDERICKS,02 OCT 1967,NAM,2,Sestriere (ITA),31 JUL 1994,1225
80,379,19.97,1.5,Frank FREDERICKS,02 OCT 1967,NAM,1,Victoria (CAN),26 AUG 1994,1225
81,379,19.97,0.5,Frank FREDERICKS,02 OCT 1967,NAM,1,Berlin (GER),30 AUG 1996,1225
82,379,19.97,1.3,Frank FREDERICKS,02 OCT 1967,NAM,1,"SGJ, Johannesburg (RSA)",13 SEP 1998,1225
83,379,19.97,0.3,Ato BOLDON,30 DEC 1973,TTO,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2000,1225
84,379,19.97,-0.8,Obadele THOMPSON,30 MAR 1976,BAR,1,Yokohama (JPN),09 SEP 2000,1229
85,379,19.97,1.7,Wallace SPEARMON,24 DEC 1984,USA,1,"Walnut, CA (USA)",17 APR 2005,1225
86,379,19.97,0.2,Xavier CARTER,08 DEC 1985,USA,2,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006,1225
87,379,19.97,-0.5,Tyson GAY,09 AUG 1982,USA,1,"National Stadium, Kingston (JAM)",05 MAY 2007,1228
88,379,19.97,1.7,Usain BOLT,21 AUG 1986,JAM,1,Kingston (JAM),29 JUN 2008,1225
89,379,19.97,0.0,Asafa POWELL,23 NOV 1982,JAM,1,Kingston (JAM),27 JUN 2010,1225
90,379,19.97,0.7,Jaysuma SAIDY NDURE,01 JAN 1984,NOR,4,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,1225
91,379,19.97,0.0,Curtis MITCHELL,11 MAR 1989,USA,1sf1,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1225
92,379,19.97,-0.6,Dedric DUKES,04 FEB 1992,USA,1f1,"Gainesville, FL (USA)",04 APR 2014,1228
93,379,19.97,-0.4,Femi OGUNODE,15 MAY 1991,QAT,1,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1227
94,379,19.97,1.4,Ameer WEBB,19 MAR 1991,USA,2sf3,"Hayward Field, Eugene, OR (USA)",08 JUL 2016,1225
95,379,19.97,0.8,Julian FORTE,07 JAN 1993,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1225
96,379,19.97,0.8,Adam GEMILI,06 OCT 1993,GBR,2,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1225
97,379,19.97,0.2,Jereem RICHARDS,13 JAN 1994,TTO,1sf3,"Lexington, KY (USA)",27 MAY 2017,1225
98,379,19.97,1.0,Yohan BLAKE,26 DEC 1989,JAM,1,Kingston (JAM),25 JUN 2017,1225
99,379,19.97,0.4,Kyle GREAUX,26 APR 1988,TTO,2sf2,Barranquilla (COL),31 JUL 2018,1225
0,379,19.97,2.0,Divine ODUDURU,07 OCT 1996,NGR,1sf1,"Austin, TX (USA)",05 JUN 2019,1225
1,379,19.97,-0.6,Christian COLEMAN,06 MAR 1996,USA,2,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1228
2,379,19.97,0.9,Miguel FRANCIS,28 MAR 1995,GBR,2,"Olympic Stadium, London (GBR)",21 JUL 2019,1225
3,379,19.97,1.2,Andre DE GRASSE,10 NOV 1994,CAN,1f1,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1225
4,379,19.97,1.7,Erriyon KNIGHTON,29 JAN 2004,USA,1sf2,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1225
5,379,19.97,1.2,Méba Mickaël ZEZE,19 MAY 1994,FRA,2f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",03 JUL 2022,1225
6,379,19.97,1.3,Issamade ASINGA,29 DEC 2004,SUR,3f1,"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",29 APR 2023,1225
7,408,19.98,0.2,Joe DELOACH,05 JUN 1967,USA,1,"Austin, TX (USA)",15 MAY 1988,1223
8,408,19.98,-0.4,Michael JOHNSON,13 SEP 1967,USA,1,Rieti (ITA),06 SEP 1991,1225
9,408,19.98,0.3,Michael JOHNSON,13 SEP 1967,USA,1,"Houston, TX (USA)",22 MAY 1992,1223
10,408,19.98,0.1,Frank FREDERICKS,02 OCT 1967,NAM,1sf2,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1223
11,408,19.98,1.7,Marcin URBAŚ,17 SEP 1976,POL,2sf2,"La Cartuja, Sevilla (ESP)",25 AUG 1999,1223
